7 126 882 
1 55 1099.055420 954.440857
2 55 1100.872925 923.315430
3 55 1109.562134 918.863525
4 55 1124.024414 920.611450
5 55 1112.728394 912.205566
6 55 1101.076782 911.138245
0 56 522.000000 877.000000
1 56 526.538086 856.752075
2 56 527.952209 855.917725
3 56 485.512756 843.842651
4 56 494.295532 844.030273
5 56 487.943542 851.220459
6 56 478.237488 850.432739
0 57 734.000000 963.000000
1 57 738.626587 941.427856
2 57 741.065247 910.947021
3 57 753.236450 949.532104
4 57 765.298218 921.478577
5 57 756.101074 957.873047
6 57 745.430176 956.463135
0 58 -205.000000 -1106.000000
1 58 -227.763428 -1118.186035
2 58 -217.396606 -1142.672363
3 58 -241.027466 -1103.427490
4 58 -235.575806 -1141.884766
5 58 -236.985352 -1095.903076
6 58 -245.078857 -1094.603271
0 59 -214.000000 -933.000000
1 59 -236.311035 -945.476807
2 59 -226.560791 -969.891846
3 59 -250.825195 -933.754639
4 59 -245.354980 -970.277100
5 59 -247.209229 -926.541504
6 59 -255.116089 -925.310791
0 60 452.000000 895.000000
1 60 456.871155 875.250000
2 60 459.712402 845.673950
3 60 418.870117 833.755981
4 60 427.528748 833.823303
5 60 421.477173 841.113770
6 60 411.893677 840.356628
0 61 703.000000 974.000000
1 61 708.300293 937.578003
2 61 710.709534 907.273376
3 61 723.436401 931.234924
4 61 735.422241 903.242432
5 61 726.385925 939.119629
6 61 715.815674 938.026855
0 62 482.000000 882.000000
1 62 486.098755 876.519409
2 62 489.072449 846.907104
3 62 447.627686 835.045654
4 62 456.114990 835.114868
5 62 450.025574 842.384033
6 62 440.309875 841.545105
0 63 510.000000 916.000000
1 63 514.157715 910.469177
2 63 517.101929 880.567139
3 63 502.065857 899.831421
4 63 512.872314 871.956787
5 63 504.736206 907.474854
6 63 495.127869 906.596558
0 64 572.000000 880.000000
1 64 575.982056 874.006470
2 64 577.582764 873.032959
3 64 561.817261 892.749756
4 64 572.099365 879.345215
5 64 563.792786 914.927490
6 64 553.881104 914.020508
0 65 394.000000 887.000000
1 65 398.916504 867.584229
2 65 401.919495 838.370117
3 65 417.912292 847.038086
4 65 427.524353 833.138428
5 65 421.476501 840.393188
6 65 411.877014 839.640503
0 66 560.000000 695.000000
1 66 563.250732 689.123779
2 66 565.161194 688.422424
3 66 521.524414 707.259827
4 66 532.096436 678.982422
5 66 523.991150 714.432495
6 66 514.362793 713.843079
0 67 1027.000000 1001.000000
1 67 1031.345215 961.983398
2 67 1033.285645 930.943726
3 67 1042.722778 956.167358
4 67 1023.406738 954.141052
5 67 1012.863770 990.908325
6 67 1001.274780 989.692932
0 68 981.000000 961.000000
1 68 985.204590 952.909546
2 68 987.211731 922.072693
3 68 997.400818 932.263184
4 68 1011.180908 903.884521
5 68 1000.761902 910.521729
6 68 989.533752 909.465088
0 69 464.000000 855.000000
1 69 467.889526 849.561951
2 69 469.421448 848.494385
3 69 455.160461 867.850708
4 69 465.630432 840.236328
5 69 459.237244 847.274597
6 69 449.745667 846.675415
0 70 540.000000 920.000000
1 70 544.811401 899.524658
2 70 547.608704 869.822266
3 70 533.726074 860.962402
4 70 543.782654 847.196533
5 70 536.219299 868.589050
6 70 526.367798 867.612366
0 71 556.000000 -1110.000000
1 71 555.167603 -1124.703125
2 71 563.705139 -1147.481689
3 71 558.460510 -1104.819092
4 71 568.912476 -1144.939697
5 71 560.721436 -1096.652588
6 71 552.545959 -1094.515869
0 72 558.000000 752.000000
1 72 561.947327 732.292847
2 72 564.814270 703.438477
3 72 549.594543 738.920288
4 72 560.421448 710.865601
5 72 552.103699 746.324219
6 72 542.375793 745.793518
0 73 490.000000 728.000000
1 73 494.019958 708.602234
2 73 497.386597 680.202393
3 73 455.323303 698.694336
4 73 465.649841 670.649536
5 73 458.407227 692.088806
6 73 449.197998 691.619629
0 74 432.000000 909.000000
1 74 436.002258 903.727051
