Feel free to place comments here.


!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!!! Warning:  This is a KLT data file.  Do not modify below this line !!!

------------------------------
KLT Feature List
------------------------------

nFeatures = 1000

feature | (x,y)=val
    275 | (1538.062866,466.716309)=    0 
    276 | (1276.572144,597.556213)=    0 
    277 | (1692.959351,489.758362)=    0 
    278 | (774.021912,630.288452)=    0 
    279 | (1300.356201,434.288086)=    0 
    280 | (1603.958252,111.788628)=    0 
    281 | (1491.431030,243.635284)=    0 
    282 | (1778.930542,94.372421)=    0 
    283 | (1432.454468,491.651367)=    0 
    284 | (886.342346,184.862534)=    0 
    285 | (975.804016,209.017212)=    0 
    286 | (1566.837769,514.270935)=    0 
    287 | (1494.771606,132.256790)=    0 
    288 | (1203.642456,447.310883)=    0 
    289 | (72.500519,778.701355)=    0 
    290 | (330.830872,723.227478)=    0 
    291 | (1368.497437,573.871399)=    0 
    292 | (1678.369019,282.622864)=    0 
    293 | (808.053711,352.981201)=    0 
    294 | (-1.000000,-1.000000)=   -4 
    295 | (-1.000000,-1.000000)=   -5 
    296 | (1357.441040,531.785522)=    0 
    297 | (109.793579,607.373901)=    0 
    298 | (450.594604,500.121796)=    0 
    299 | (1518.750977,546.052979)=    0 
    300 | (1242.653687,618.985962)=    0 
    301 | (200.265579,426.607513)=    0 
    302 | (1139.701416,291.258118)=    0 
    303 | (549.098145,162.990158)=    0 
    304 | (1469.991089,430.703064)=    0 
    305 | (1415.015503,197.112823)=    0 
    306 | (1320.507690,506.346802)=    0 
    307 | (240.459518,249.886124)=    0 
    308 | (1605.807617,293.994812)=    0 
    309 | (1680.901001,590.094299)=    0 
    310 | (1507.221924,635.541138)=    0 
    311 | (1517.456665,99.683662)=    0 
    312 | (1304.992310,560.974304)=    0 
    313 | (828.405823,622.269531)=    0 
    314 | (99.361565,529.117371)=    0 
    315 | (1608.654175,560.834656)=    0 
    316 | (1384.600220,534.169800)=    0 
    317 | (561.919556,225.537704)=    0 
    318 | (1077.445923,255.963791)=    0 
    319 | (1692.035156,165.404770)=    0 
    320 | (953.912170,83.155190)=    0 
    321 | (490.851288,164.160141)=    0 
    322 | (1650.152466,330.041077)=    0 
    323 | (420.710144,631.814392)=    0 
    324 | (1651.680542,545.316528)=    0 
    325 | (-1.000000,-1.000000)=   -5 
    326 | (1463.243530,547.556091)=    0 
    327 | (186.923080,562.033813)=    0 
    328 | (279.232727,470.485168)=    0 
    329 | (1634.329102,660.509949)=    0 
    330 | (-1.000000,-1.000000)=   -4 
    331 | (1540.533325,373.716522)=    0 
    332 | (1228.294067,563.376465)=    0 
    333 | (1701.622803,416.491760)=    0 
    334 | (1593.536621,588.967346)=    0 
    335 | (-1.000000,-1.000000)=   -5 
    336 | (1638.411011,615.309937)=    0 
    337 | (1243.478638,358.419464)=    0 
    338 | (431.264709,525.417603)=    0 
    339 | (112.492653,751.171021)=    0 
    340 | (177.756790,354.467804)=    0 
